epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,494.555,4.70285,15.0968,4.0936,0.00371,0.00698,0.00127,0.00034,nan,nan,nan,0.0700185,0.00333127,0.00333127
2,960.984,3.29229,10.0092,2.68848,0.05366,0.13301,0.06,0.02643,2.5183,7.59955,1.91633,0.0399856,0.00663162,0.00663162
3,1423.87,2.42904,7.38361,1.8107,0.11459,0.17495,0.08886,0.04093,nan,nan,nan,0.00991956,0.00989896,0.00989896
4,1884.8,2.16005,6.40564,1.60363,0.28344,0.18186,0.12898,0.06549,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,2342.89,2.01079,5.72914,1.50345,0.17232,0.19234,0.12615,0.06174,nan,nan,nan,0.009802,0.009802,0.009802
6,2804.17,1.9132,5.27078,1.44109,0.27567,0.2286,0.19776,0.10636,1.79715,4.57637,1.37738,0.0097525,0.0097525,0.0097525
7,3266.1,1.8345,4.94407,1.3961,0.32111,0.24108,0.22624,0.12327,1.72086,4.4059,1.35099,0.009703,0.009703,0.009703
8,3726.2,1.78987,4.74721,1.37205,0.34301,0.26541,0.24288,0.13222,1.67426,4.16537,1.31515,0.0096535,0.0096535,0.0096535
9,4184.3,1.75607,4.5674,1.34514,0.36935,0.27682,0.263,0.14586,1.62592,4.01124,1.29536,0.009604,0.009604,0.009604
10,4643.9,1.72347,4.43244,1.32976,0.34199,0.27035,0.26031,0.14462,1.63599,4.00969,1.28917,0.0095545,0.0095545,0.0095545
11,5102.96,1.69298,4.27746,1.31051,0.38429,0.29402,0.28097,0.15727,1.58874,3.85412,1.2669,0.009505,0.009505,0.009505
12,5560.45,1.66237,4.1945,1.29745,0.39404,0.30749,0.29627,0.16642,1.56159,3.77318,1.25204,0.0094555,0.0094555,0.0094555
13,6019.99,1.64119,4.0864,1.28593,0.42913,0.30549,0.30624,0.17402,1.5402,3.68928,1.23782,0.009406,0.009406,0.009406
14,6482.79,1.62663,4.0167,1.27063,0.43108,0.31239,0.31316,0.17719,1.5421,3.62049,1.23981,0.0093565,0.0093565,0.0093565
15,6944.23,1.60703,3.93147,1.26013,0.43074,0.33379,0.33112,0.18804,1.50378,3.54658,1.22149,0.009307,0.009307,0.009307
16,7405.79,1.59218,3.86487,1.25668,0.43878,0.3356,0.33295,0.19064,1.49312,3.52853,1.21362,0.0092575,0.0092575,0.0092575
17,7867.98,1.58462,3.80491,1.24679,0.43617,0.33626,0.33276,0.19218,1.47863,3.47623,1.20933,0.009208,0.009208,0.009208
18,8331.17,1.57396,3.76188,1.23794,0.44953,0.3493,0.35041,0.20001,1.47729,3.43699,1.20848,0.0091585,0.0091585,0.0091585
19,8793.61,1.55344,3.68321,1.23512,0.45128,0.34702,0.35094,0.20316,1.46224,3.39184,1.1986,0.009109,0.009109,0.009109
20,9254.41,1.53758,3.63438,1.22846,0.46149,0.36103,0.36083,0.20873,1.44425,3.35183,1.18972,0.0090595,0.0090595,0.0090595
21,9714.18,1.54009,3.61382,1.21813,0.44737,0.35957,0.35909,0.20799,1.44185,3.33137,1.18686,0.00901,0.00901,0.00901
22,10178.1,1.52442,3.55707,1.21825,0.4582,0.36657,0.36619,0.21326,1.42352,3.29284,1.1808,0.0089605,0.0089605,0.0089605
23,10639.3,1.51411,3.54249,1.2174,0.46284,0.37104,0.3725,0.21466,1.42411,3.26007,1.17804,0.008911,0.008911,0.008911
24,11101.3,1.51179,3.51922,1.20831,0.46358,0.36976,0.37416,0.21765,1.42853,3.26123,1.18184,0.0088615,0.0088615,0.0088615
25,11559.7,1.50463,3.45816,1.20293,0.4751,0.3783,0.37685,0.22096,1.41035,3.24071,1.17194,0.008812,0.008812,0.008812
26,12021.4,1.49821,3.44861,1.20257,0.47543,0.37615,0.38003,0.22099,1.41072,3.20295,1.16969,0.0087625,0.0087625,0.0087625
27,12481.1,1.48223,3.4123,1.19743,0.46783,0.37931,0.38531,0.22606,1.39861,3.18176,1.16428,0.008713,0.008713,0.008713
28,12942.5,1.47889,3.36639,1.19164,0.47269,0.38873,0.38937,0.22707,1.39906,3.1601,1.16556,0.0086635,0.0086635,0.0086635
29,13404.9,1.47779,3.3515,1.19163,0.48172,0.39359,0.39505,0.23146,1.38732,3.14646,1.16078,0.008614,0.008614,0.008614
30,13863.7,1.47008,3.32098,1.18483,0.48799,0.3927,0.39787,0.23348,1.38518,3.1273,1.15669,0.0085645,0.0085645,0.0085645
31,14325.4,1.46516,3.3197,1.18318,0.47803,0.39947,0.39837,0.23381,1.38326,3.11388,1.15572,0.008515,0.008515,0.008515
32,14788.6,1.45548,3.27119,1.17896,0.49353,0.39716,0.40127,0.23589,1.37457,3.09555,1.15228,0.0084655,0.0084655,0.0084655
33,15248.1,1.45667,3.27139,1.17956,0.48423,0.40088,0.40504,0.23656,1.3807,3.09454,1.15503,0.008416,0.008416,0.008416
34,15707.3,1.45969,3.26151,1.17926,0.48972,0.40146,0.40759,0.23963,1.37296,3.06628,1.14974,0.0083665,0.0083665,0.0083665
35,16168,1.44726,3.22475,1.17285,0.49602,0.40297,0.40994,0.24131,1.37147,3.0557,1.14886,0.008317,0.008317,0.008317
36,16630.2,1.43981,3.19451,1.1694,0.50941,0.40152,0.41316,0.24348,1.36322,3.03992,1.14405,0.0082675,0.0082675,0.0082675
37,17092.9,1.43348,3.1703,1.16883,0.50771,0.41289,0.41887,0.24658,1.35537,3.01008,1.14084,0.008218,0.008218,0.008218
38,17554.4,1.43218,3.16448,1.16726,0.51845,0.40741,0.4219,0.24787,1.35879,3.01125,1.14261,0.0081685,0.0081685,0.0081685
39,18014,1.42477,3.14407,1.16854,0.49664,0.41396,0.41942,0.24726,1.35383,3.00391,1.13925,0.008119,0.008119,0.008119
40,18474,1.42942,3.14134,1.16401,0.50966,0.41246,0.41749,0.24889,1.34994,2.98168,1.13781,0.0080695,0.0080695,0.0080695
41,18936.6,1.42281,3.11059,1.16299,0.51364,0.41493,0.42386,0.25028,1.34617,2.97318,1.13551,0.00802,0.00802,0.00802
42,19392.3,1.41781,3.09102,1.16,0.52247,0.41903,0.4287,0.25323,1.34498,2.97496,1.13401,0.0079705,0.0079705,0.0079705
43,19844.9,1.41909,3.09452,1.15963,0.52288,0.41953,0.43088,0.25507,1.34073,2.95032,1.13267,0.007921,0.007921,0.007921
44,20282.9,1.4108,3.06557,1.15688,0.5174,0.41772,0.43151,0.25712,1.34078,2.95905,1.13261,0.0078715,0.0078715,0.0078715
45,20729.2,1.40777,3.06497,1.1557,0.51433,0.42687,0.43495,0.25792,1.33723,2.93933,1.1292,0.007822,0.007822,0.007822
46,21186.2,1.40659,3.03544,1.15305,0.52314,0.4233,0.43564,0.25862,1.33741,2.93239,1.12985,0.0077725,0.0077725,0.0077725
47,21639.7,1.40277,3.02066,1.15065,0.5237,0.43134,0.43995,0.26152,1.33002,2.90542,1.12783,0.007723,0.007723,0.007723
48,22092.7,1.39838,3.00622,1.15121,0.53605,0.41963,0.43619,0.25931,1.32966,2.90559,1.12752,0.0076735,0.0076735,0.0076735
49,22559.8,1.39603,2.99819,1.14517,0.53598,0.42713,0.44434,0.2645,1.32896,2.88722,1.12584,0.007624,0.007624,0.007624
50,23028.4,1.40087,3.00736,1.14842,0.53585,0.43011,0.44481,0.26463,1.32746,2.88319,1.12444,0.0075745,0.0075745,0.0075745
51,23492.3,1.3908,2.96232,1.14352,0.54448,0.43113,0.44855,0.26778,1.32497,2.87247,1.12272,0.007525,0.007525,0.007525
52,23951.7,1.39238,2.96556,1.14362,0.53683,0.43283,0.44778,0.26652,1.32337,2.87061,1.12229,0.0074755,0.0074755,0.0074755
53,24419,1.38588,2.94765,1.14386,0.53643,0.42994,0.44729,0.26664,1.3226,2.8613,1.1218,0.007426,0.007426,0.007426
54,24880.2,1.38621,2.93937,1.14039,0.53793,0.4338,0.44808,0.26804,1.31728,2.85133,1.11945,0.0073765,0.0073765,0.0073765
55,25332.1,1.37959,2.92359,1.13692,0.53585,0.43245,0.44731,0.26731,1.31686,2.85902,1.1198,0.007327,0.007327,0.007327
56,25790.2,1.37783,2.90701,1.14201,0.54026,0.43928,0.45281,0.27042,1.31341,2.83676,1.11735,0.0072775,0.0072775,0.0072775
57,26252,1.38195,2.92083,1.14258,0.54804,0.43821,0.45117,0.27039,1.31221,2.84092,1.11603,0.007228,0.007228,0.007228
58,26717.4,1.38315,2.91104,1.1381,0.54595,0.43649,0.45246,0.27072,1.30846,2.83264,1.11455,0.0071785,0.0071785,0.0071785
59,27175.7,1.36962,2.87538,1.13421,0.54998,0.44306,0.45352,0.27083,1.30725,2.82491,1.11286,0.007129,0.007129,0.007129
60,27634.3,1.37263,2.88322,1.13688,0.54693,0.44118,0.45557,0.27304,1.30919,2.82527,1.11346,0.0070795,0.0070795,0.0070795
61,28100.1,1.36866,2.85961,1.13192,0.54226,0.44175,0.45392,0.27264,1.30789,2.82152,1.11322,0.00703,0.00703,0.00703
62,28546.9,1.3653,2.85833,1.13503,0.54597,0.44195,0.45674,0.27243,1.30836,2.81721,1.11306,0.0069805,0.0069805,0.0069805
63,29003.6,1.36598,2.85823,1.13364,0.55832,0.44076,0.4582,0.2744,1.30578,2.80724,1.11246,0.006931,0.006931,0.006931
64,29458.4,1.36778,2.85697,1.13178,0.55274,0.44307,0.45797,0.27535,1.30712,2.81119,1.11177,0.0068815,0.0068815,0.0068815
65,29902.3,1.36191,2.83651,1.13016,0.54952,0.43677,0.45664,0.27425,1.3121,2.81685,1.11294,0.006832,0.006832,0.006832
66,30337.3,1.37142,2.85343,1.13034,0.56682,0.43242,0.46084,0.27547,1.31376,2.8211,1.11115,0.0067825,0.0067825,0.0067825
67,30780.1,1.36902,2.84542,1.12334,0.55911,0.4407,0.4628,0.2788,1.31429,2.82613,1.10856,0.006733,0.006733,0.006733
68,31233.8,1.37353,2.84578,1.12773,0.56462,0.43773,0.46389,0.27933,1.31515,2.82846,1.10714,0.0066835,0.0066835,0.0066835
69,31682.5,1.37372,2.86331,1.12306,0.56381,0.44172,0.46491,0.28043,1.31785,2.82972,1.10511,0.006634,0.006634,0.006634
70,32134,1.37565,2.85598,1.12099,0.57558,0.43506,0.4657,0.27998,1.31783,2.83268,1.10388,0.0065845,0.0065845,0.0065845
71,32586.2,1.37826,2.8483,1.12096,0.57272,0.44085,0.46767,0.28285,1.31634,2.8311,1.10176,0.006535,0.006535,0.006535
72,33041.9,1.37203,2.84942,1.11671,0.55977,0.44496,0.46814,0.28175,1.31378,2.83121,1.10047,0.0064855,0.0064855,0.0064855
73,33495.2,1.36045,2.82761,1.11313,0.56404,0.44343,0.46602,0.28113,1.31298,2.82618,1.09833,0.006436,0.006436,0.006436
74,33953.8,1.36709,2.82572,1.11565,0.56967,0.44178,0.46772,0.28226,1.31284,2.81893,1.09727,0.0063865,0.0063865,0.0063865
75,34391.5,1.3626,2.82192,1.11586,0.56034,0.44507,0.4673,0.28272,1.31293,2.82088,1.09637,0.006337,0.006337,0.006337
76,34826.7,1.36166,2.81481,1.1132,0.56269,0.44373,0.46921,0.28423,1.31226,2.81506,1.09528,0.0062875,0.0062875,0.0062875
77,35267.8,1.36669,2.81155,1.10735,0.57219,0.4388,0.46659,0.28355,1.31085,2.81832,1.09417,0.006238,0.006238,0.006238
78,35720.4,1.36621,2.80216,1.11156,0.56768,0.44722,0.46867,0.28507,1.3101,2.81566,1.09305,0.0061885,0.0061885,0.0061885
79,36173.6,1.36889,2.8093,1.11281,0.55524,0.45143,0.46917,0.28485,1.31155,2.81005,1.09416,0.006139,0.006139,0.006139
80,36624.5,1.36136,2.79972,1.10875,0.56108,0.44841,0.47024,0.28616,1.3098,2.80751,1.09307,0.0060895,0.0060895,0.0060895
81,37076,1.35853,2.78526,1.10821,0.56819,0.44728,0.47108,0.28578,1.30906,2.80736,1.09215,0.00604,0.00604,0.00604
82,37537.7,1.35585,2.77306,1.10512,0.57048,0.4433,0.47158,0.28508,1.30904,2.80614,1.09231,0.0059905,0.0059905,0.0059905
83,37987.7,1.35421,2.76465,1.10624,0.57128,0.44445,0.47171,0.28591,1.30815,2.8049,1.09167,0.005941,0.005941,0.005941
84,38453.7,1.35625,2.7645,1.10551,0.57761,0.44625,0.47368,0.28752,1.30697,2.79598,1.09039,0.0058915,0.0058915,0.0058915
85,38906.3,1.35444,2.76046,1.10427,0.56185,0.45452,0.4739,0.28787,1.30579,2.79612,1.09013,0.005842,0.005842,0.005842
86,39357.3,1.35599,2.74986,1.10392,0.55979,0.45383,0.47439,0.28757,1.30664,2.79757,1.09026,0.0057925,0.0057925,0.0057925
87,39816.3,1.34773,2.72062,1.10118,0.57616,0.44838,0.47674,0.28894,1.30553,2.79395,1.08942,0.005743,0.005743,0.005743
88,40269.9,1.35144,2.73204,1.10291,0.56558,0.45323,0.47512,0.28822,1.30219,2.78671,1.08776,0.0056935,0.0056935,0.0056935
89,40724.9,1.34455,2.71517,1.1009,0.56988,0.45058,0.47442,0.28851,1.3037,2.78441,1.08788,0.005644,0.005644,0.005644
90,41177.1,1.34642,2.71964,1.0968,0.56844,0.4529,0.47469,0.28901,1.30202,2.77772,1.08703,0.0055945,0.0055945,0.0055945
91,41633.9,1.34034,2.6993,1.10089,0.57045,0.44796,0.47468,0.28984,1.30028,2.77726,1.08629,0.005545,0.005545,0.005545
92,42078.1,1.34431,2.70046,1.09818,0.57456,0.44691,0.47546,0.29009,1.30203,2.7756,1.08697,0.0054955,0.0054955,0.0054955
93,42520.3,1.3315,2.67488,1.09729,0.5715,0.44934,0.47613,0.29025,1.30088,2.77825,1.08584,0.005446,0.005446,0.005446
94,42968.8,1.33927,2.68086,1.09469,0.57229,0.4502,0.4771,0.29079,1.29952,2.77429,1.08535,0.0053965,0.0053965,0.0053965
95,43421.2,1.3348,2.6712,1.09851,0.57117,0.45222,0.47766,0.29148,1.30004,2.77085,1.08514,0.005347,0.005347,0.005347
96,43886.5,1.3329,2.65159,1.09971,0.56745,0.45664,0.47706,0.29072,1.30052,2.76906,1.08525,0.0052975,0.0052975,0.0052975
97,44337.9,1.33304,2.6594,1.09571,0.57187,0.45655,0.47847,0.29155,1.30012,2.76359,1.08498,0.005248,0.005248,0.005248
98,44796,1.331,2.63732,1.09448,0.58231,0.44977,0.47951,0.29219,1.29944,2.76332,1.08438,0.0051985,0.0051985,0.0051985
99,45246.5,1.33905,2.65464,1.09296,0.58718,0.45059,0.4803,0.29231,1.29848,2.76309,1.08374,0.005149,0.005149,0.005149
100,45702.9,1.33899,2.65653,1.09318,0.57728,0.45597,0.48047,0.29198,1.2989,2.76458,1.08411,0.0050995,0.0050995,0.0050995
101,46151.2,1.33036,2.63447,1.09151,0.57993,0.45367,0.47997,0.29211,1.29947,2.76221,1.08432,0.00505,0.00505,0.00505
102,46605.6,1.33126,2.61735,1.0875,0.57569,0.45662,0.48008,0.29195,1.29888,2.75925,1.08386,0.0050005,0.0050005,0.0050005
103,47057.6,1.32828,2.62313,1.09283,0.57782,0.45642,0.47995,0.29201,1.29851,2.75954,1.08342,0.004951,0.004951,0.004951
104,47512.8,1.32674,2.59947,1.0868,0.57972,0.45687,0.48123,0.29283,1.29804,2.75801,1.0834,0.0049015,0.0049015,0.0049015
105,47953.2,1.32509,2.60099,1.09237,0.57733,0.45631,0.48124,0.29296,1.29768,2.75743,1.08338,0.004852,0.004852,0.004852
106,48397.1,1.3279,2.60789,1.08743,0.57965,0.45571,0.48067,0.29267,1.29788,2.75586,1.08332,0.0048025,0.0048025,0.0048025
107,48846.6,1.31499,2.57109,1.08545,0.58409,0.45478,0.48171,0.29311,1.2988,2.75466,1.08358,0.004753,0.004753,0.004753
108,49296.4,1.31833,2.56661,1.08788,0.58441,0.45543,0.48118,0.29314,1.29832,2.75574,1.08316,0.0047035,0.0047035,0.0047035
109,49737.8,1.32411,2.58171,1.08789,0.58449,0.45565,0.48133,0.29291,1.29794,2.75624,1.08299,0.004654,0.004654,0.004654
110,50190.6,1.31623,2.55991,1.08607,0.58556,0.4539,0.48208,0.29379,1.297,2.75414,1.08243,0.0046045,0.0046045,0.0046045
111,50646.6,1.31134,2.55243,1.08845,0.58001,0.45736,0.4819,0.29349,1.29642,2.75393,1.08216,0.004555,0.004555,0.004555
112,51103,1.31721,2.55148,1.08646,0.58198,0.45665,0.48199,0.29344,1.29621,2.75556,1.08201,0.0045055,0.0045055,0.0045055
113,51554,1.31517,2.55156,1.08348,0.58796,0.45381,0.48118,0.29263,1.29636,2.75685,1.08174,0.004456,0.004456,0.004456
114,52004.4,1.3143,2.53457,1.0844,0.58109,0.45478,0.482,0.29352,1.29664,2.7561,1.08164,0.0044065,0.0044065,0.0044065
115,52469.8,1.31042,2.52342,1.07712,0.58301,0.45489,0.48184,0.29332,1.29664,2.75727,1.08141,0.004357,0.004357,0.004357
116,52917.8,1.31841,2.53721,1.08391,0.58203,0.4556,0.48181,0.29299,1.29645,2.75565,1.08111,0.0043075,0.0043075,0.0043075
117,53378.6,1.30767,2.51983,1.08121,0.58048,0.4572,0.48242,0.29302,1.29579,2.75484,1.08094,0.004258,0.004258,0.004258
118,53831.6,1.3116,2.51846,1.08388,0.58351,0.453,0.48187,0.29348,1.29497,2.75505,1.08041,0.0042085,0.0042085,0.0042085
119,54291.9,1.30944,2.49965,1.07996,0.59219,0.45114,0.48264,0.2939,1.29445,2.75624,1.08018,0.004159,0.004159,0.004159
120,54758.5,1.3053,2.48836,1.07874,0.596,0.45057,0.48292,0.29455,1.29447,2.75353,1.08011,0.0041095,0.0041095,0.0041095
121,55205.5,1.30116,2.48636,1.07842,0.5958,0.44823,0.48265,0.29444,1.29398,2.75551,1.08014,0.00406,0.00406,0.00406
122,55646.5,1.30387,2.48449,1.07916,0.60003,0.44769,0.48206,0.29486,1.29398,2.75493,1.07992,0.0040105,0.0040105,0.0040105
123,56103.5,1.30528,2.47989,1.07816,0.60376,0.44667,0.48246,0.2946,1.29408,2.75611,1.08001,0.003961,0.003961,0.003961
124,56551.1,1.30366,2.47284,1.0803,0.59589,0.44767,0.48217,0.2943,1.29481,2.75855,1.0802,0.0039115,0.0039115,0.0039115
125,57002.4,1.29803,2.46244,1.07784,0.59357,0.44919,0.48201,0.29392,1.29518,2.76092,1.08029,0.003862,0.003862,0.003862
126,57448.4,1.29963,2.46238,1.07598,0.59221,0.44883,0.48205,0.29408,1.29516,2.76094,1.07993,0.0038125,0.0038125,0.0038125
127,57896.9,1.29702,2.45537,1.07838,0.59388,0.44901,0.48242,0.29427,1.29501,2.76073,1.07976,0.003763,0.003763,0.003763
128,58339.2,1.29755,2.44475,1.07575,0.59596,0.44811,0.48259,0.29423,1.29463,2.76051,1.07968,0.0037135,0.0037135,0.0037135
129,58800.8,1.29265,2.43607,1.07457,0.58963,0.45143,0.48263,0.29411,1.29438,2.76064,1.07967,0.003664,0.003664,0.003664
130,59270.1,1.29757,2.4294,1.07317,0.59413,0.44919,0.48211,0.29422,1.29463,2.76172,1.07963,0.0036145,0.0036145,0.0036145
131,59737.6,1.29966,2.43403,1.07304,0.59963,0.44479,0.48209,0.294,1.29491,2.7621,1.07958,0.003565,0.003565,0.003565
132,60195.1,1.29307,2.41565,1.07544,0.59273,0.4486,0.4823,0.29393,1.29494,2.76117,1.0796,0.0035155,0.0035155,0.0035155
133,60650,1.28772,2.40222,1.07077,0.58665,0.45235,0.48259,0.29379,1.29495,2.76113,1.07957,0.003466,0.003466,0.003466
134,61101.3,1.28326,2.3931,1.07251,0.59019,0.45171,0.4824,0.29394,1.29495,2.76122,1.07943,0.0034165,0.0034165,0.0034165
135,61553.4,1.28535,2.39355,1.07069,0.59159,0.45148,0.48199,0.29365,1.29484,2.76142,1.0793,0.003367,0.003367,0.003367
136,61997.4,1.28362,2.38706,1.06502,0.59042,0.45256,0.48182,0.29362,1.29493,2.76182,1.07936,0.0033175,0.0033175,0.0033175
137,62448.2,1.28848,2.38936,1.07179,0.58929,0.45343,0.48217,0.29389,1.29502,2.76326,1.07933,0.003268,0.003268,0.003268
138,62910.6,1.28781,2.38283,1.07132,0.58968,0.45323,0.48203,0.29398,1.2951,2.76406,1.07941,0.0032185,0.0032185,0.0032185
139,63365.6,1.28365,2.37321,1.07105,0.59071,0.45346,0.48207,0.29404,1.295,2.76471,1.07929,0.003169,0.003169,0.003169
140,63831.1,1.28644,2.37449,1.06801,0.58877,0.45305,0.48229,0.29432,1.2952,2.76599,1.07916,0.0031195,0.0031195,0.0031195
141,64298.8,1.27719,2.35632,1.06784,0.58629,0.4539,0.4822,0.2941,1.29504,2.76622,1.07902,0.00307,0.00307,0.00307
142,64755,1.28542,2.35346,1.06952,0.5885,0.45393,0.48278,0.29396,1.29527,2.76663,1.07888,0.0030205,0.0030205,0.0030205
143,65219.1,1.28047,2.35273,1.06699,0.58732,0.45457,0.48248,0.29389,1.2952,2.76661,1.0787,0.002971,0.002971,0.002971
144,65685.8,1.28161,2.34139,1.06876,0.59097,0.4535,0.4824,0.29369,1.29543,2.76716,1.07858,0.0029215,0.0029215,0.0029215
145,66149,1.2752,2.33146,1.06613,0.58984,0.45312,0.48197,0.29361,1.29535,2.76749,1.07863,0.002872,0.002872,0.002872
146,66599.5,1.27749,2.3333,1.06427,0.59021,0.4531,0.48171,0.29337,1.29511,2.76927,1.07855,0.0028225,0.0028225,0.0028225
147,67045.7,1.27153,2.32395,1.06233,0.58635,0.45475,0.48156,0.29327,1.2953,2.7702,1.07855,0.002773,0.002773,0.002773
148,67498.6,1.27301,2.32391,1.06352,0.58574,0.45515,0.48144,0.29325,1.29524,2.77175,1.07849,0.0027235,0.0027235,0.0027235
149,67963.1,1.26852,2.29747,1.064,0.58255,0.45631,0.48154,0.29341,1.29526,2.77247,1.07856,0.002674,0.002674,0.002674
150,68428.5,1.26885,2.29017,1.06377,0.58145,0.45641,0.48103,0.293,1.29523,2.7732,1.07856,0.0026245,0.0026245,0.0026245
151,68882.9,1.26859,2.29545,1.06406,0.58187,0.45585,0.48094,0.29292,1.29522,2.77258,1.07851,0.002575,0.002575,0.002575
152,69333.7,1.2716,2.29905,1.06517,0.57931,0.4579,0.48091,0.29286,1.29527,2.77356,1.07844,0.0025255,0.0025255,0.0025255
153,69778.5,1.26554,2.28025,1.06458,0.57765,0.45837,0.48086,0.29299,1.29549,2.77367,1.07841,0.002476,0.002476,0.002476
154,70246.8,1.2633,2.26743,1.05842,0.58053,0.45653,0.48063,0.29253,1.29554,2.77541,1.07835,0.0024265,0.0024265,0.0024265
155,70710.4,1.26318,2.27392,1.06449,0.57972,0.45618,0.48078,0.29258,1.29552,2.77616,1.07833,0.002377,0.002377,0.002377
156,71177.7,1.2663,2.2722,1.05881,0.57714,0.45751,0.48064,0.29233,1.29559,2.77708,1.07841,0.0023275,0.0023275,0.0023275
157,71641.1,1.26604,2.27577,1.06212,0.57759,0.45795,0.48016,0.29216,1.29556,2.77756,1.07833,0.002278,0.002278,0.002278
158,72102.5,1.26107,2.25786,1.06083,0.57761,0.45795,0.48019,0.29225,1.29555,2.7781,1.07837,0.0022285,0.0022285,0.0022285
159,72558.1,1.25805,2.25123,1.05912,0.57744,0.45823,0.4803,0.29239,1.29551,2.7788,1.07826,0.002179,0.002179,0.002179
160,73016.2,1.256,2.23764,1.05724,0.57562,0.4596,0.48033,0.29226,1.29548,2.77983,1.07833,0.0021295,0.0021295,0.0021295
161,73454.1,1.25602,2.23644,1.05743,0.57494,0.45948,0.48066,0.29248,1.29526,2.77988,1.0783,0.00208,0.00208,0.00208
162,73895.6,1.2556,2.23339,1.05788,0.57316,0.46053,0.48039,0.29238,1.29526,2.78085,1.07821,0.0020305,0.0020305,0.0020305
163,74341.4,1.25866,2.23541,1.05778,0.57259,0.46025,0.48043,0.29247,1.29524,2.78063,1.07818,0.001981,0.001981,0.001981
164,74783.5,1.25587,2.22372,1.05782,0.57252,0.46052,0.48009,0.29227,1.29524,2.78116,1.07812,0.0019315,0.0019315,0.0019315
165,75251,1.25441,2.21446,1.05465,0.57285,0.46085,0.48004,0.29231,1.29499,2.78174,1.07808,0.001882,0.001882,0.001882
166,75711.2,1.2527,2.20562,1.05161,0.57119,0.46138,0.47985,0.29233,1.29492,2.7821,1.07806,0.0018325,0.0018325,0.0018325
167,76175.8,1.25058,2.20654,1.05316,0.57278,0.46019,0.47969,0.29238,1.29501,2.78342,1.07806,0.001783,0.001783,0.001783
168,76636.8,1.2495,2.20477,1.05546,0.57257,0.4606,0.47948,0.29202,1.29524,2.78431,1.0781,0.0017335,0.0017335,0.0017335
169,77086,1.24699,2.18968,1.05279,0.57384,0.4597,0.47938,0.29217,1.29541,2.78498,1.07813,0.001684,0.001684,0.001684
170,77537,1.24975,2.20113,1.05344,0.57352,0.45981,0.47943,0.29219,1.29542,2.78554,1.07811,0.0016345,0.0016345,0.0016345
171,77989.3,1.24133,2.17946,1.05306,0.57432,0.45929,0.47943,0.29218,1.29552,2.78629,1.07805,0.001585,0.001585,0.001585
172,78444.9,1.24411,2.17167,1.05116,0.57297,0.46065,0.47935,0.29213,1.2956,2.78747,1.07806,0.0015355,0.0015355,0.0015355
